index,matched_stances
702,['Does not express any politically relevant opinion']
703,['Does not express any politically relevant opinion']
704,['Does not express any politically relevant opinion']
705,['Does not express any politically relevant opinion']
706,"['Criticism of Republicans or Conservatives', 'Criticism of Donald Trump or Republican Party Leadership']"
707,['Criticism of climate change policies as economically harmful']
708,['Does not express any politically relevant opinion']
709,['Does not express any politically relevant opinion']
710,[]
711,['Criticism of Local Government or Mayor']
712,['Does not express any politically relevant opinion']
713,['Criticism of Local Government or Mayor']
714,['Criticism of Republicans or Conservatives']
715,['Criticism of Local Government or Mayor']
716,['Does not express any politically relevant opinion']
717,['Does not express any politically relevant opinion']
718,['Does not express any politically relevant opinion']
719,['Does not express any politically relevant opinion']
720,['Criticism of Republicans or Conservatives']
721,['Criticism of Local Government or Mayor']
722,['Does not express any politically relevant opinion']
723,['Does not express any politically relevant opinion']
724,['Does not express any politically relevant opinion']
725,['Criticism of Local Government or Mayor']
726,['Does not express any politically relevant opinion']
727,['Does not express any politically relevant opinion']
728,['Does not express any politically relevant opinion']
729,['Criticism of Democrats or Liberals']
730,['Does not express any politically relevant opinion']
731,['Does not express any politically relevant opinion']
732,['Criticism of Donald Trump or Republican Party Leadership']
733,"['Criticism of Democrats or Liberals', 'Criticism of Local Government or Mayor']"
734,['Does not express any politically relevant opinion']
735,['Criticism of Local Government or Mayor']
736,['Does not express any politically relevant opinion']
737,"['Support for police and federal detainment practices as necessary for law and order', 'Criticism of high taxes for government involvement', 'Criticism of illegal immigration']"
738,['Does not express any politically relevant opinion']
739,['Criticism of Local Government or Mayor']
740,['Does not express any politically relevant opinion']
741,[]
742,['Criticism of Local Government or Mayor']
743,['Does not express any politically relevant opinion']
744,['Does not express any politically relevant opinion']
745,['Does not express any politically relevant opinion']
746,['Criticism of police and federal detainment practices as abuse of power']
747,['Criticism of Local Government or Mayor']
748,"['Criticism of Democrats or Liberals', 'Criticism of Local Government or Mayor']"
749,['Does not express any politically relevant opinion']
750,['Does not express any politically relevant opinion']
751,['Does not express any politically relevant opinion']
752,[]
753,['Does not express any politically relevant opinion']
754,['Does not express any politically relevant opinion']
755,['Criticism of Local Government or Mayor']
756,['Does not express any politically relevant opinion']
757,['Does not express any politically relevant opinion']
758,['Does not express any politically relevant opinion']
759,['Criticism of Local Government or Mayor']
760,['Does not express any politically relevant opinion']
761,['Does not express any politically relevant opinion']
762,['Does not express any politically relevant opinion']
763,['Criticism of Republicans or Conservatives']
764,['Criticism of Democrats or Liberals']
765,['Does not express any politically relevant opinion']
766,['Does not express any politically relevant opinion']
767,['Does not express any politically relevant opinion']
768,['Does not express any politically relevant opinion']
769,['Criticism of Local Government or Mayor']
770,['Does not express any politically relevant opinion']
771,['Does not express any politically relevant opinion']
772,['Does not express any politically relevant opinion']
773,['Does not express any politically relevant opinion']
774,['Praise for Local Government or Mayor']
775,['Does not express any politically relevant opinion']
776,['Does not express any politically relevant opinion']
777,['Does not express any politically relevant opinion']
778,['Does not express any politically relevant opinion']
779,['Criticism of Local Government or Mayor']
780,['Does not express any politically relevant opinion']
781,['Support for higher taxes for government involvement']
782,['Does not express any politically relevant opinion']
783,['Does not express any politically relevant opinion']
784,['Criticism of Local Government or Mayor']
785,['Does not express any politically relevant opinion']
786,['Does not express any politically relevant opinion']
787,['Support for LGBTQ+ rights and same-sex marriage']
788,[]
789,['Support for police and federal detainment practices as necessary for law and order']
790,[]
791,['Does not express any politically relevant opinion']
792,['Does not express any politically relevant opinion']
793,['Does not express any politically relevant opinion']
794,['Criticism of Local Government or Mayor']
795,['Does not express any politically relevant opinion']
796,"['Criticism of Donald Trump or Republican Party Leadership', 'Support for Joe Biden, Kamala Harris or Democratic Party Leadership']"
797,['Does not express any politically relevant opinion']
798,['Does not express any politically relevant opinion']
799,['Does not express any politically relevant opinion']
800,['Support for police and federal detainment practices as necessary for law and order']
801,['Does not express any politically relevant opinion']
802,['Does not express any politically relevant opinion']
803,['Does not express any politically relevant opinion']
804,['Does not express any politically relevant opinion']
805,['Does not express any politically relevant opinion']
806,['Does not express any politically relevant opinion']
807,[]
808,['Does not express any politically relevant opinion']
809,[]
810,['Does not express any politically relevant opinion']
811,['Support for stricter gun control laws']
812,['Does not express any politically relevant opinion']
813,['Does not express any politically relevant opinion']
814,['Criticism of Local Government or Mayor']
815,['Does not express any politically relevant opinion']
816,['Does not express any politically relevant opinion']
817,['Does not express any politically relevant opinion']
818,['Does not express any politically relevant opinion']
819,['Criticism of Local Government or Mayor']
820,['Does not express any politically relevant opinion']
821,['Support for legalization of marijuana']
822,['Does not express any politically relevant opinion']
823,"['Criticism of Republicans or Conservatives', 'Criticism of Donald Trump or Republican Party Leadership', 'Praise for Local Government or Mayor']"
824,['Does not express any politically relevant opinion']
825,['Does not express any politically relevant opinion']
826,['Does not express any politically relevant opinion']
827,['Does not express any politically relevant opinion']
828,['Does not express any politically relevant opinion']
829,['Does not express any politically relevant opinion']
830,['Does not express any politically relevant opinion']
831,['Does not express any politically relevant opinion']
832,['Does not express any politically relevant opinion']
833,['Does not express any politically relevant opinion']
834,['Does not express any politically relevant opinion']
835,['Criticism of police and federal detainment practices as abuse of power']
836,['Support for police and federal detainment practices as necessary for law and order']
837,['Does not express any politically relevant opinion']
838,"['Criticism of Democrats or Liberals', 'Criticism of Local Government or Mayor']"
839,['Does not express any politically relevant opinion']
840,['Does not express any politically relevant opinion']
841,"['Support for abortion rights', 'Criticism of Republicans or Conservatives', 'Criticism of Donald Trump or Republican Party Leadership']"
842,['Does not express any politically relevant opinion']
843,['Does not express any politically relevant opinion']
844,['Does not express any politically relevant opinion']
845,['Does not express any politically relevant opinion']
846,[]
847,['Does not express any politically relevant opinion']
848,['Does not express any politically relevant opinion']
849,['Does not express any politically relevant opinion']
850,"['Criticism of Joe Biden, Kamala Harris or Democratic Party Leadership']"
851,['Does not express any politically relevant opinion']
852,['Does not express any politically relevant opinion']
853,['Does not express any politically relevant opinion']
854,['Does not express any politically relevant opinion']
855,['Does not express any politically relevant opinion']
856,['Criticism of Donald Trump or Republican Party Leadership']
857,['Support for legalization of marijuana']
858,['Does not express any politically relevant opinion']
859,[]
860,['Does not express any politically relevant opinion']
861,['Does not express any politically relevant opinion']
862,['Does not express any politically relevant opinion']
863,['Does not express any politically relevant opinion']
864,['Does not express any politically relevant opinion']
865,['Criticism of Local Government or Mayor']
866,['Does not express any politically relevant opinion']
867,['Does not express any politically relevant opinion']
868,['Criticism of Local Government or Mayor']
869,['Praise for Local Government or Mayor']
870,[]
871,['Does not express any politically relevant opinion']
872,['Does not express any politically relevant opinion']
873,['Does not express any politically relevant opinion']
874,['Does not express any politically relevant opinion']
875,['Does not express any politically relevant opinion']
876,['Criticism of Local Government or Mayor']
877,['Does not express any politically relevant opinion']
878,['Criticism of Local Government or Mayor']
879,['Does not express any politically relevant opinion']
880,['Does not express any politically relevant opinion']
881,['Does not express any politically relevant opinion']
882,['Does not express any politically relevant opinion']
883,['Does not express any politically relevant opinion']
884,['Does not express any politically relevant opinion']
885,['Does not express any politically relevant opinion']
886,['Criticism of Republicans or Conservatives']
887,['Does not express any politically relevant opinion']
888,['Does not express any politically relevant opinion']
889,['Does not express any politically relevant opinion']
890,['Does not express any politically relevant opinion']
891,['Does not express any politically relevant opinion']
892,['Does not express any politically relevant opinion']
893,['Does not express any politically relevant opinion']
894,['Does not express any politically relevant opinion']
895,['Does not express any politically relevant opinion']
896,"['Support for universal healthcare', 'Criticism of Republicans or Conservatives', 'Criticism of Donald Trump or Republican Party Leadership']"
897,['Does not express any politically relevant opinion']
898,['Does not express any politically relevant opinion']
899,['Does not express any politically relevant opinion']
900,['Does not express any politically relevant opinion']
901,[]
902,['Does not express any politically relevant opinion']
903,['Does not express any politically relevant opinion']
904,['Criticism of Democrats or Liberals']
905,['Does not express any politically relevant opinion']
906,['Does not express any politically relevant opinion']
907,[]
908,['Criticism of Local Government or Mayor']
909,['Does not express any politically relevant opinion']
910,['Does not express any politically relevant opinion']
911,['Does not express any politically relevant opinion']
912,['Does not express any politically relevant opinion']
913,"['Criticism of high taxes for government involvement', 'Criticism of Local Government or Mayor']"
914,['Does not express any politically relevant opinion']
915,['Does not express any politically relevant opinion']
916,[]
917,['Does not express any politically relevant opinion']
918,['Does not express any politically relevant opinion']
919,['Does not express any politically relevant opinion']
920,['Does not express any politically relevant opinion']
921,['Does not express any politically relevant opinion']
922,['Does not express any politically relevant opinion']
923,['Does not express any politically relevant opinion']
924,['Does not express any politically relevant opinion']
925,['Does not express any politically relevant opinion']
926,['Does not express any politically relevant opinion']
927,['Does not express any politically relevant opinion']
928,['Support for legalization of marijuana']
929,['Praise for Local Government or Mayor']
930,['Does not express any politically relevant opinion']
931,['Does not express any politically relevant opinion']
932,['Does not express any politically relevant opinion']
933,"['Criticism of high taxes for government involvement', 'Criticism of Democrats or Liberals', 'Support for Donald Trump or Republican Party Leadership']"
934,['Support for Donald Trump or Republican Party Leadership']
935,['Criticism of Local Government or Mayor']
936,['Criticism of Local Government or Mayor']
937,['Criticism of high taxes for government involvement']
938,"['Criticism of illegal immigration', 'Criticism of Democrats or Liberals', 'Criticism of Joe Biden, Kamala Harris or Democratic Party Leadership', 'Support for Donald Trump or Republican Party Leadership']"
939,['Does not express any politically relevant opinion']
940,['Criticism of Local Government or Mayor']
941,['Does not express any politically relevant opinion']
942,['Does not express any politically relevant opinion']
943,['Criticism of Democrats or Liberals']
944,['Does not express any politically relevant opinion']
945,"['Criticism of high taxes for government involvement', 'Criticism of Local Government or Mayor']"
946,['Does not express any politically relevant opinion']
947,['Does not express any politically relevant opinion']
948,['Criticism of Republicans or Conservatives']
949,['Does not express any politically relevant opinion']
950,['Does not express any politically relevant opinion']
951,['Does not express any politically relevant opinion']
952,['Does not express any politically relevant opinion']
953,['Does not express any politically relevant opinion']
954,['Does not express any politically relevant opinion']
955,['Does not express any politically relevant opinion']
956,['Does not express any politically relevant opinion']
957,['Does not express any politically relevant opinion']
958,['Does not express any politically relevant opinion']
959,['Does not express any politically relevant opinion']
960,"['Support for police and federal detainment practices as necessary for law and order', 'Support for gun ownership rights', 'Criticism of Democrats or Liberals', 'Support for Donald Trump or Republican Party Leadership', 'Criticism of Local Government or Mayor']"
961,"['Criticism of Republicans or Conservatives', 'Criticism of Donald Trump or Republican Party Leadership']"
962,['Does not express any politically relevant opinion']
963,"['Criticism of Democrats or Liberals', 'Criticism of Joe Biden, Kamala Harris or Democratic Party Leadership', 'Support for Donald Trump or Republican Party Leadership']"
964,['Does not express any politically relevant opinion']
965,['Does not express any politically relevant opinion']
966,['Does not express any politically relevant opinion']
967,[]
968,['Does not express any politically relevant opinion']
969,['Does not express any politically relevant opinion']
970,['Does not express any politically relevant opinion']
971,['Does not express any politically relevant opinion']
972,"['Criticism of police and federal detainment practices as abuse of power', 'Criticism of Joe Biden, Kamala Harris or Democratic Party Leadership']"
973,['Does not express any politically relevant opinion']
974,['Does not express any politically relevant opinion']
975,['Does not express any politically relevant opinion']
976,['Does not express any politically relevant opinion']
977,['Praise for Local Government or Mayor']
978,['Does not express any politically relevant opinion']
979,"['Criticism of illegal immigration', 'Criticism of Democrats or Liberals', 'Praise for Local Government or Mayor']"
980,['Does not express any politically relevant opinion']
981,['Does not express any politically relevant opinion']
982,[]
983,['Does not express any politically relevant opinion']
984,"['Criticism of police and federal detainment practices as abuse of power', 'Criticism of Local Government or Mayor']"
985,['Does not express any politically relevant opinion']
986,['Does not express any politically relevant opinion']
987,[]
988,['Does not express any politically relevant opinion']
989,['Does not express any politically relevant opinion']
990,['Criticism of Local Government or Mayor']
991,['Criticism of Local Government or Mayor']
992,['Does not express any politically relevant opinion']
993,['Does not express any politically relevant opinion']
994,"['Support for abortion rights', 'Criticism of Republicans or Conservatives', 'Criticism of Donald Trump or Republican Party Leadership', 'Praise for Local Government or Mayor']"
995,['Does not express any politically relevant opinion']
996,['Does not express any politically relevant opinion']
997,['Does not express any politically relevant opinion']
998,['Does not express any politically relevant opinion']
999,['Does not express any politically relevant opinion']
